OrderID,Date,DayOfWeek,Time,Category,Line item name,Quantity,Price Per Item,Gross Sales,Est. Cost,Est. Profit,OrderType,Payment,Cancelled
RES_ORD_957.0,07/01/2023,Saturday,17:29,MAIN COURSES,Jolof with Curry Goat,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_959.0,07/01/2023,Saturday,19:37,MAIN COURSES,Jolof with Fish,2,8.5,17,5.95,11.05,Delivery,Card,No
RES_ORD_958.0,07/01/2023,Saturday,17:33,EXTRAS,Assorted Meat,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_957.0,07/01/2023,Saturday,17:29,EXTRAS,Extra Stew,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_959.0,07/01/2023,Saturday,19:37,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_958.0,07/01/2023,Saturday,17:33,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_957.0,07/01/2023,Saturday,17:29,DRINKS,African Fanta,1,3,3,1.05,1.95,Delivery,Card,No
RES_ORD_959.0,07/01/2023,Saturday,19:37,SOUPS,Efo Riro,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_958.0,07/01/2023,Saturday,17:33,SOUPS,Egusi (Melon Soup),2,8.5,17,5.95,11.05,Delivery,Card,No
RES_ORD_965.0,09/01/2023,Monday,17:45,APETISERS,Assorted Meat Pepper Soup,2,7.5,15,5.25,9.75,Delivery,Card,No
RES_ORD_964.0,09/01/2023,Monday,17:17,APETISERS,Buns,1,5,5,1.75,3.25,Delivery,Card,No
RES_ORD_963.0,09/01/2023,Monday,17:15,APETISERS,Patty,8,2,16,5.6,10.4,Collection,Card,No
RES_ORD_962.0,09/01/2023,Monday,16:51,MAIN COURSES,Fried Rice,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_966.0,09/01/2023,Monday,20:40,EXTRAS,Assorted Meat,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_967.0,09/01/2023,Monday,20:39,EXTRAS,Boiled Rice,1,2,2,0.7,1.3,Delivery,Card,Yes
RES_ORD_965.0,09/01/2023,Monday,17:45,EXTRAS,Extra Stew,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_964.0,09/01/2023,Monday,17:17,EXTRAS,Fried Plantain - Dodo,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_963.0,09/01/2023,Monday,17:15,EXTRAS,Gari (Dried Cassava Flour),1,3.5,3.5,1.22,2.28,Collection,Card,No
RES_ORD_962.0,09/01/2023,Monday,16:51,EXTRAS,Moi Moi - Beans Pudding,3,2,6,2.1,3.9,Delivery,Card,No
RES_ORD_966.0,09/01/2023,Monday,20:40,EXTRAS,Pounded Yam,3,3.33,10,3.5,6.5,Delivery,Card,No
RES_ORD_967.0,09/01/2023,Monday,20:39,DRINKS,Maltina,1,2,2,0.7,1.3,Delivery,Card,Yes
RES_ORD_965.0,09/01/2023,Monday,17:45,SOUPS,Efo Riro,4,8.25,33,11.55,21.45,Delivery,Card,No
RES_ORD_975.0,10/01/2023,Tuesday,19:21,APETISERS,Assorted Meat Pepper Soup,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_972.0,10/01/2023,Tuesday,17:57,APETISERS,Patty,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_971.0,10/01/2023,Tuesday,17:54,EXTRAS,Assorted Meat,4,2,8,2.8,5.2,Collection,Card,No
RES_ORD_970.0,10/01/2023,Tuesday,17:01,EXTRAS,Beef Stew,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_975.0,10/01/2023,Tuesday,19:21,EXTRAS,Extra Stew,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_972.0,10/01/2023,Tuesday,17:57,EXTRAS,Moi Moi - Beans Pudding,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_971.0,10/01/2023,Tuesday,17:54,EXTRAS,Plain Jolof,2,4.5,9,3.15,5.85,Collection,Card,No
RES_ORD_970.0,10/01/2023,Tuesday,17:01,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_975.0,10/01/2023,Tuesday,19:21,SOUPS,Efo Riro,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_972.0,10/01/2023,Tuesday,17:57,SOUPS,Egusi (Melon Soup),1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_971.0,10/01/2023,Tuesday,17:54,SOUPS,Okro,1,8.5,8.5,2.97,5.53,Collection,Card,No
RES_ORD_979.0,11/01/2023,Wednesday,16:26,APETISERS,Assorted Meat Pepper Soup,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_978.0,11/01/2023,Wednesday,16:21,MAIN COURSES,Jolof,2,8.5,17,5.95,11.05,Delivery,Card,No
RES_ORD_982.0,11/01/2023,Wednesday,20:07,EXTRAS,Assorted Meat,3,2,6,2.1,3.9,Delivery,Card,No
RES_ORD_981.0,11/01/2023,Wednesday,19:07,EXTRAS,Assorted Meat Stew,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_980.0,11/01/2023,Wednesday,18:21,EXTRAS,Coleslaw,1,1,1,0.35,0.65,Delivery,Card,No
RES_ORD_979.0,11/01/2023,Wednesday,16:26,EXTRAS,Moi Moi - Beans Pudding,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_978.0,11/01/2023,Wednesday,16:21,EXTRAS,Plain Fried Rice,1,5,5,1.75,3.25,Delivery,Card,No
RES_ORD_982.0,11/01/2023,Wednesday,20:07,EXTRAS,Plain Jolof,1,4.5,4.5,1.57,2.93,Delivery,Card,No
RES_ORD_981.0,11/01/2023,Wednesday,19:07,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_980.0,11/01/2023,Wednesday,18:21,DRINKS,Maltina,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_979.0,11/01/2023,Wednesday,16:26,SOUPS,Efo Riro,2,7.5,15,5.25,9.75,Delivery,Card,No
RES_ORD_978.0,11/01/2023,Wednesday,16:21,SOUPS,Egusi (Melon Soup),1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_985.0,12/01/2023,Thursday,18:39,APETISERS,Patty,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_987.0,12/01/2023,Thursday,19:35,MAIN COURSES,Fried Rice,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_984.0,12/01/2023,Thursday,18:42,EXTRAS,Assorted Meat,3,2,6,2.1,3.9,Delivery,Card,No
RES_ORD_985.0,12/01/2023,Thursday,18:39,EXTRAS,Assorted Meat Stew,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_987.0,12/01/2023,Thursday,19:35,EXTRAS,Ayamase Sauce,2,7,14,4.9,9.1,Delivery,Card,No
RES_ORD_984.0,12/01/2023,Thursday,18:42,EXTRAS,Coleslaw,1,1,1,0.35,0.65,Delivery,Card,No
RES_ORD_985.0,12/01/2023,Thursday,18:39,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_987.0,12/01/2023,Thursday,19:35,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_984.0,12/01/2023,Thursday,18:42,DRINKS,Maltina,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_985.0,12/01/2023,Thursday,18:39,Restaurant DEALS,Packs of Efo,1,32.5,32.5,11.38,21.12,Delivery,Card,No
RES_ORD_992.0,13/01/2023,Friday,16:46,APETISERS,Assorted Meat Pepper Soup,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_989.0,13/01/2023,Friday,16:13,APETISERS,Buns,1,5,5,1.75,3.25,Collection,Card,No
RES_ORD_994.0,13/01/2023,Friday,19:09,APETISERS,Chicken Suya,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_993.0,13/01/2023,Friday,18:25,MAIN COURSES,Jolof with Beef,1,7,7,2.45,4.55,Delivery,Card,No
RES_ORD_992.0,13/01/2023,Friday,16:46,MAIN COURSES,Jolof with Chicken,1,7,7,2.45,4.55,Delivery,Card,No
RES_ORD_989.0,13/01/2023,Friday,16:13,EXTRAS,Assorted Meat,3,2,6,2.1,3.9,Collection,Card,No
RES_ORD_994.0,13/01/2023,Friday,19:09,EXTRAS,Ayamase Sauce,2,7,14,4.9,9.1,Delivery,Card,No
RES_ORD_993.0,13/01/2023,Friday,18:25,EXTRAS,Boiled Rice,3,2,6,2.1,3.9,Delivery,Card,No
RES_ORD_992.0,13/01/2023,Friday,16:46,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_989.0,13/01/2023,Friday,16:13,EXTRAS,Plain Jolof,3,4.5,13.5,4.72,8.78,Collection,Card,No
RES_ORD_994.0,13/01/2023,Friday,19:09,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_993.0,13/01/2023,Friday,18:25,Restaurant DEALS,Packs of Afang (Pre-order),1,35,35,12.25,22.75,Delivery,Card,No
RES_ORD_992.0,13/01/2023,Friday,16:46,Restaurant DEALS,Packs of Efo,1,32.5,32.5,11.38,21.12,Delivery,Card,No
RES_ORD_989.0,13/01/2023,Friday,16:13,SOUPS,Okro,1,8.5,8.5,2.97,5.53,Collection,Card,No
RES_ORD_997.0,14/01/2023,Saturday,16:17,APETISERS,Assorted Meat Pepper Soup,2,7.5,15,5.25,9.75,Collection,Card,No
RES_ORD_1000.0,14/01/2023,Saturday,17:14,APETISERS,Buns,1,5,5,1.75,3.25,Delivery,Card,No
RES_ORD_999.0,14/01/2023,Saturday,17:07,APETISERS,Chicken Suya,2,3.5,7,2.45,4.55,Collection,Card,No
RES_ORD_998.0,14/01/2023,Saturday,17:01,APETISERS,Patty,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_997.0,14/01/2023,Saturday,16:17,MAIN COURSES,Fried Rice,1,8.5,8.5,2.97,5.53,Collection,Card,No
RES_ORD_1000.0,14/01/2023,Saturday,17:14,MAIN COURSES,Jolof with Chicken,4,7,28,9.8,18.2,Delivery,Card,No
RES_ORD_999.0,14/01/2023,Saturday,17:07,EXTRAS,Assorted Meat,3,2,6,2.1,3.9,Collection,Card,No
RES_ORD_998.0,14/01/2023,Saturday,17:01,EXTRAS,Fried Plantain - Dodo,4,2,8,2.8,5.2,Delivery,Card,No
RES_ORD_997.0,14/01/2023,Saturday,16:17,EXTRAS,Plain Fried Rice,1,5,5,1.75,3.25,Collection,Card,No
RES_ORD_1000.0,14/01/2023,Saturday,17:14,EXTRAS,Plain Jolof,2,4.5,9,3.15,5.85,Delivery,Card,No
RES_ORD_999.0,14/01/2023,Saturday,17:07,EXTRAS,Pounded Yam,1,3,3,1.05,1.95,Collection,Card,No
RES_ORD_998.0,14/01/2023,Saturday,17:01,DRINKS,African Fanta,4,3,12,4.2,7.8,Delivery,Card,No
RES_ORD_997.0,14/01/2023,Saturday,16:17,Restaurant DEALS,Fried Rice (Sharing Pack Plain),1,24,24,8.4,15.6,Collection,Card,No
RES_ORD_1000.0,14/01/2023,Saturday,17:14,SOUPS,Efo Riro,1,9,9,3.15,5.85,Delivery,Card,No
RES_ORD_999.0,14/01/2023,Saturday,17:07,SOUPS,Egusi (Melon Soup),3,7.17,21.5,7.52,13.98,Collection,Card,No
RES_ORD_1005.0,16/01/2023,Monday,16:58,APETISERS,Assorted Meat Pepper Soup,3,7.5,22.5,7.87,14.63,Delivery,Card,No
RES_ORD_1009.0,16/01/2023,Monday,19:40,APETISERS,Patty,6,2,12,4.2,7.8,Delivery,Card,No
RES_ORD_1008.0,16/01/2023,Monday,18:55,MAIN COURSES,Fried Rice,1,9,9,3.15,5.85,Collection,Card,No
RES_ORD_1007.0,16/01/2023,Monday,18:27,MAIN COURSES,Jolof,2,8.5,17,5.95,11.05,Delivery,Card,No
RES_ORD_1004.0,16/01/2023,Monday,17:29,MAIN COURSES,Jolof with Chicken,2,7,14,4.9,9.1,Collection,Card,No
RES_ORD_1006.0,16/01/2023,Monday,17:28,EXTRAS,Assorted Meat,9,2,18,6.3,11.7,Delivery,Card,No
RES_ORD_1005.0,16/01/2023,Monday,16:58,EXTRAS,Assorted Meat Stew,1,8,8,2.8,5.2,Delivery,Card,No
RES_ORD_1009.0,16/01/2023,Monday,19:40,EXTRAS,Boiled Rice,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1008.0,16/01/2023,Monday,18:55,EXTRAS,Coleslaw,1,1,1,0.35,0.65,Collection,Card,No
RES_ORD_1007.0,16/01/2023,Monday,18:27,EXTRAS,Extra Stew,4,2,8,2.8,5.2,Delivery,Card,No
RES_ORD_1004.0,16/01/2023,Monday,17:29,EXTRAS,Fried Plantain - Dodo,2,2,4,1.4,2.6,Collection,Card,No
RES_ORD_1006.0,16/01/2023,Monday,17:28,EXTRAS,Moi Moi - Beans Pudding,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_1005.0,16/01/2023,Monday,16:58,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_1009.0,16/01/2023,Monday,19:40,SOUPS,Efo Riro,2,8.25,16.5,5.77,10.73,Delivery,Card,No
RES_ORD_1008.0,16/01/2023,Monday,18:55,SOUPS,Egusi (Melon Soup),1,8.5,8.5,2.97,5.53,Collection,Card,No
RES_ORD_1010.0,17/01/2023,Tuesday,16:19,EXTRAS,Assorted Meat,5,2,10,3.5,6.5,Delivery,Card,No
RES_ORD_1012.0,17/01/2023,Tuesday,18:35,EXTRAS,Extra Stew,8,2,16,5.6,10.4,Delivery,Card,No
RES_ORD_1011.0,17/01/2023,Tuesday,18:04,EXTRAS,Gari (Dried Cassava Flour),1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_1010.0,17/01/2023,Tuesday,16:19,EXTRAS,Pounded Yam,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_1012.0,17/01/2023,Tuesday,18:35,Restaurant DEALS,Packs of Efo,1,32.5,32.5,11.38,21.12,Delivery,Card,No
RES_ORD_1011.0,17/01/2023,Tuesday,18:04,SOUPS,Egusi (Melon Soup),1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_1016.0,18/01/2023,Wednesday,17:51,APETISERS,Assorted Meat Pepper Soup,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_1013.0,18/01/2023,Wednesday,16:03,SPECIAL ORDERS,Grilled Tilapia Fish,1,15,15,5.25,9.75,Delivery,Card,No
RES_ORD_1016.0,18/01/2023,Wednesday,17:51,EXTRAS,Plain Jolof,2,4.5,9,3.15,5.85,Delivery,Card,No
RES_ORD_1013.0,18/01/2023,Wednesday,16:03,DRINKS,Maltina,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1020.0,21/01/2023,Saturday,17:58,MAIN COURSES,Fried Rice,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_1022.0,21/01/2023,Saturday,20:09,EXTRAS,Fried Fish,2,2.5,5,1.75,3.25,Delivery,Card,No
RES_ORD_1020.0,21/01/2023,Saturday,17:58,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1022.0,21/01/2023,Saturday,20:09,EXTRAS,Pounded Yam,3,3.5,10.5,3.67,6.83,Delivery,Card,No
RES_ORD_1020.0,21/01/2023,Saturday,17:58,SOUPS,Efo Riro,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_1022.0,21/01/2023,Saturday,20:09,SOUPS,Ogbono,1,6.5,6.5,2.27,4.23,Delivery,Card,No
RES_ORD_1030.0,23/01/2023,Monday,19:13,APETISERS,Assorted Meat Pepper Soup,2,7.5,15,5.25,9.75,Collection,Card,No
RES_ORD_1027.0,23/01/2023,Monday,17:02,MAIN COURSES,Fried Rice,1,9,9,3.15,5.85,Delivery,Card,No
RES_ORD_1026.0,23/01/2023,Monday,16:52,MAIN COURSES,Jolof,2,8.5,17,5.95,11.05,Delivery,Card,No
RES_ORD_1025.0,23/01/2023,Monday,16:29,EXTRAS,Assorted Meat,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_1030.0,23/01/2023,Monday,19:13,EXTRAS,Assorted Meat Stew,1,8,8,2.8,5.2,Collection,Card,No
RES_ORD_1027.0,23/01/2023,Monday,17:02,EXTRAS,Boiled Rice,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1026.0,23/01/2023,Monday,16:52,EXTRAS,Extra Stew,3,2,6,2.1,3.9,Delivery,Card,No
RES_ORD_1025.0,23/01/2023,Monday,16:29,EXTRAS,Moi Moi - Beans Pudding,11,2,22,7.7,14.3,Delivery,Card,No
RES_ORD_1030.0,23/01/2023,Monday,19:13,EXTRAS,Pounded Yam,2,3.5,7,2.45,4.55,Collection,Card,No
RES_ORD_1027.0,23/01/2023,Monday,17:02,DRINKS,Maltina,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1026.0,23/01/2023,Monday,16:52,Restaurant DEALS,Packs of Efo,1,32.5,32.5,11.38,21.12,Delivery,Card,No
RES_ORD_1025.0,23/01/2023,Monday,16:29,SOUPS,Efo Riro,1,9,9,3.15,5.85,Delivery,Card,No
RES_ORD_1030.0,23/01/2023,Monday,19:13,SOUPS,Egusi (Melon Soup),1,8.5,8.5,2.97,5.53,Collection,Card,No
RES_ORD_1033.0,24/01/2023,Tuesday,18:04,APETISERS,Assorted Meat Pepper Soup,2,7.5,15,5.25,9.75,Delivery,Card,No
RES_ORD_1032.0,24/01/2023,Tuesday,17:49,MAIN COURSES,Jolof with Chicken,1,7,7,2.45,4.55,Collection,Card,No
RES_ORD_1033.0,24/01/2023,Tuesday,18:04,EXTRAS,Ayamase Sauce,1,7,7,2.45,4.55,Delivery,Card,No
RES_ORD_1032.0,24/01/2023,Tuesday,17:49,EXTRAS,Chicken Stew,2,7,14,4.9,9.1,Collection,Card,No
RES_ORD_1033.0,24/01/2023,Tuesday,18:04,EXTRAS,Plain Jolof,1,4.5,4.5,1.57,2.93,Delivery,Card,No
RES_ORD_1032.0,24/01/2023,Tuesday,17:49,EXTRAS,Pounded Yam,1,3.5,3.5,1.22,2.28,Collection,Card,No
RES_ORD_1033.0,24/01/2023,Tuesday,18:04,SOUPS,Efo Riro,4,7.75,31,10.85,20.15,Delivery,Card,No
RES_ORD_1032.0,24/01/2023,Tuesday,17:49,SOUPS,Egusi (Melon Soup),3,8,24,8.4,15.6,Collection,Card,No
RES_ORD_1033.0,24/01/2023,Tuesday,18:04,SOUPS,Okro,1,6.5,6.5,2.27,4.23,Delivery,Card,No
RES_ORD_1035.0,25/01/2023,Wednesday,17:27,APETISERS,Assorted Meat Pepper Soup,1,7.5,7.5,2.62,4.88,Delivery,Card,No
RES_ORD_1034.0,25/01/2023,Wednesday,17:15,MAIN COURSES,Fried Rice,1,8.5,8.5,2.97,5.53,Delivery,Card,No
RES_ORD_1035.0,25/01/2023,Wednesday,17:27,EXTRAS,Fried Plantain - Dodo,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1034.0,25/01/2023,Wednesday,17:15,EXTRAS,Plain Jolof,2,4.5,9,3.15,5.85,Delivery,Card,No
RES_ORD_1037.0,26/01/2023,Thursday,16:33,APETISERS,Chicken Suya,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_1037.0,26/01/2023,Thursday,16:33,EXTRAS,Assorted Meat,3,2,6,2.1,3.9,Delivery,Card,No
RES_ORD_1037.0,26/01/2023,Thursday,16:33,EXTRAS,Extra Stew,2,2,4,1.4,2.6,Delivery,Card,No
RES_ORD_1037.0,26/01/2023,Thursday,16:33,EXTRAS,Pounded Yam,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_1037.0,26/01/2023,Thursday,16:33,Restaurant DEALS,Packs of Efo,1,32.5,32.5,11.38,21.12,Delivery,Card,No
RES_ORD_1044.0,27/01/2023,Friday,18:05,APETISERS,Assorted Meat Pepper Soup,2,7.5,15,5.25,9.75,Delivery,Card,No
RES_ORD_1043.0,27/01/2023,Friday,17:53,MAIN COURSES,Fried Rice,2,7.5,15,5.25,9.75,Collection,Card,No
RES_ORD_1045.0,27/01/2023,Friday,19:44,MAIN COURSES,Jolof with Beef,1,7,7,2.45,4.55,Delivery,Card,No
RES_ORD_1044.0,27/01/2023,Friday,18:05,EXTRAS,Assorted Meat,1,2,2,0.7,1.3,Delivery,Card,No
RES_ORD_1043.0,27/01/2023,Friday,17:53,EXTRAS,Boiled Rice,1,2,2,0.7,1.3,Collection,Card,No
RES_ORD_1045.0,27/01/2023,Friday,19:44,EXTRAS,Pounded Yam,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_1044.0,27/01/2023,Friday,18:05,SOUPS,Egusi (Melon Soup),1,7,7,2.45,4.55,Delivery,Card,No
RES_ORD_1047.0,28/01/2023,Saturday,18:01,APETISERS,Beef Suya,1,6.5,6.5,2.27,4.23,Delivery,Card,No
RES_ORD_1049.0,28/01/2023,Saturday,19:50,APETISERS,Chicken Suya,1,3.5,3.5,1.22,2.28,Delivery,Card,No
RES_ORD_1047.0,28/01/2023,Saturday,18:01,EXTRAS,Plain Jolof,3,4.5,13.5,4.72,8.78,Delivery,Card,No
