Order Date,Product,Category,Region,Quantity,Unit Price,Revenue,Cost
2024-01-04,Desk Lamp,Furniture,South,5,254.79,1273.95,828.54
2024-01-04,Mechanical Keyboard,Electronics,North,8,80.22,641.76,385.81
2024-01-04,USB-C Hub,Electronics,East,2,107.32,214.64,137.52
2024-01-04,Coffee Mug,Home & Kitchen,Central,1,10.28,10.28,6.95
2024-01-04,Standing Desk,Furniture,North,2,105.08,210.16,119.49
2024-01-04,Water Bottle,Home & Kitchen,East,8,21.95,175.6,116.93
2024-01-04,Wireless Mouse,Electronics,North,6,95.97,575.82,351.44
2024-01-04,Notebook Set,Stationery,Central,1,10.98,10.98,5.57
2024-01-04,Desk Lamp,Furniture,Central,3,72.13,216.39,150.27
2024-01-04,Wireless Mouse,Electronics,East,4,86.62,346.48,233.85
2024-01-04,Coffee Mug,Home & Kitchen,South,4,27.39,109.56,55.32
2024-01-04,Desk Lamp,Furniture,West,4,288.34,1153.36,774.73
2024-01-04,Office Chair,Furniture,South,8,297.96,2383.68,1506.5
2024-01-05,Notebook Set,Stationery,East,5,5.63,28.15,16.33
2024-01-05,Sticky Notes,Stationery,East,1,4.32,4.32,2.39
2024-01-05,Mechanical Keyboard,Electronics,Central,7,51.3,359.1,187.86
2024-01-05,Coffee Mug,Home & Kitchen,South,5,25.74,128.7,82.03
2024-01-05,Water Bottle,Home & Kitchen,South,6,21.71,130.26,82.41
2024-01-05,Mechanical Keyboard,Electronics,East,5,85.02,425.1,228.86
2024-01-05,Water Bottle,Home & Kitchen,West,3,8.01,24.03,13.39
2024-01-05,Notebook Set,Stationery,Central,6,4.78,28.68,19.51
2024-01-05,USB-C Hub,Electronics,North,5,69.12,345.6,224.72
2024-01-05,Water Bottle,Home & Kitchen,East,4,29.65,118.6,73.8
2024-01-05,Mechanical Keyboard,Electronics,West,7,108.04,756.28,438.59
2024-01-05,USB-C Hub,Electronics,North,2,96.73,193.46,114.7
2024-01-05,Sticky Notes,Stationery,South,2,10.68,21.36,13.22
2024-01-05,Ballpoint Pens (Pack),Stationery,Central,7,13.66,95.62,56.89
2024-01-05,Standing Desk,Furniture,South,5,211.18,1055.9,544.31
2024-01-05,Standing Desk,Furniture,South,5,318.98,1594.9,919.63
2024-01-06,USB-C Hub,Electronics,South,2,58.56,117.12,78.07
2024-01-06,Notebook Set,Stationery,Central,1,6.94,6.94,3.96
2024-01-06,Notebook Set,Stationery,West,4,8.31,33.24,21.07
2024-01-06,Notebook Set,Stationery,South,8,8.94,71.52,44.23
2024-01-06,Water Bottle,Home & Kitchen,North,2,9.11,18.22,10.49
2024-01-07,Office Chair,Furniture,West,6,315.1,1890.6,1104.7
2024-01-07,Mechanical Keyboard,Electronics,West,1,93.65,93.65,48.11
2024-01-07,Water Bottle,Home & Kitchen,North,1,11.35,11.35,5.96
2024-01-07,Water Bottle,Home & Kitchen,North,4,21.33,85.32,59.11
2024-01-07,Mechanical Keyboard,Electronics,South,5,26.35,131.75,91.12
2024-01-07,Notebook Set,Stationery,South,2,5.16,10.32,5.78
2024-01-07,Water Bottle,Home & Kitchen,Central,2,19.72,39.44,24.94
2024-01-08,Mechanical Keyboard,Electronics,Central,6,16.33,97.98,56.09
2024-01-08,Ballpoint Pens (Pack),Stationery,South,7,10.46,73.22,50.08
2024-01-08,Ballpoint Pens (Pack),Stationery,West,7,6.19,43.33,29.76
2024-01-08,Standing Desk,Furniture,West,4,225.26,901.04,539.6
2024-01-08,Desk Lamp,Furniture,South,8,291.37,2330.96,1492.37
2024-01-08,Standing Desk,Furniture,Central,1,115.41,115.41,70.52
2024-01-08,Office Chair,Furniture,West,8,65.0,520.0,285.3
2024-01-08,Water Bottle,Home & Kitchen,Central,6,24.41,146.46,82.92
2024-01-08,Ballpoint Pens (Pack),Stationery,East,5,4.5,22.5,13.66
2024-01-08,USB-C Hub,Electronics,South,4,92.55,370.2,229.29
2024-01-08,Mechanical Keyboard,Electronics,South,5,38.89,194.45,107.89
2024-01-09,Wireless Mouse,Electronics,Central,5,88.23,441.15,297.58
2024-01-09,Coffee Mug,Home & Kitchen,East,8,13.55,108.4,72.88
2024-01-09,Mechanical Keyboard,Electronics,North,7,66.63,466.41,308.87
2024-01-09,Standing Desk,Furniture,North,4,281.69,1126.76,614.24
2024-01-09,Sticky Notes,Stationery,West,8,9.65,77.2,47.38
2024-01-09,Wireless Mouse,Electronics,Central,2,114.5,229.0,121.69
2024-01-09,USB-C Hub,Electronics,Central,2,31.44,62.88,31.85
2024-01-09,Standing Desk,Furniture,East,8,127.69,1021.52,631.26
2024-01-09,Office Chair,Furniture,West,2,247.81,495.62,254.89
2024-01-09,USB-C Hub,Electronics,East,5,61.11,305.55,169.41
2024-01-09,Sticky Notes,Stationery,West,8,7.62,60.96,33.53
2024-01-09,Mechanical Keyboard,Electronics,South,1,119.96,119.96,78.12
2024-01-09,Ballpoint Pens (Pack),Stationery,Central,8,9.61,76.88,46.0
2024-01-10,Mechanical Keyboard,Electronics,West,6,57.88,347.28,202.23
2024-01-10,Ballpoint Pens (Pack),Stationery,East,7,7.91,55.37,31.26
2024-01-10,Notebook Set,Stationery,Central,1,7.37,7.37,4.22
2024-01-10,Ballpoint Pens (Pack),Stationery,West,1,14.06,14.06,8.99
2024-01-10,Mechanical Keyboard,Electronics,North,4,89.53,358.12,195.15
2024-01-10,Mechanical Keyboard,Electronics,West,2,83.01,166.02,106.43
2024-01-10,Notebook Set,Stationery,West,8,6.99,55.92,33.64
2024-01-10,USB-C Hub,Electronics,North,5,96.13,480.65,266.01
2024-01-10,Wireless Mouse,Electronics,East,5,102.93,514.65,303.29
2024-01-10,Ballpoint Pens (Pack),Stationery,East,6,7.92,47.52,25.55
2024-01-11,Office Chair,Furniture,Central,7,284.91,1994.37,1278.48
2024-01-11,Notebook Set,Stationery,West,3,8.53,25.59,17.25
2024-01-11,Ballpoint Pens (Pack),Stationery,North,8,13.32,106.56,54.87
2024-01-11,Standing Desk,Furniture,East,7,307.01,2149.07,1237.87
2024-01-11,Desk Lamp,Furniture,West,1,128.08,128.08,69.87
2024-01-11,Mechanical Keyboard,Electronics,West,2,94.84,189.68,106.2
2024-01-11,Wireless Mouse,Electronics,North,6,98.6,591.6,358.65
2024-01-11,Coffee Mug,Home & Kitchen,South,3,23.03,69.09,41.42
2024-01-11,Coffee Mug,Home & Kitchen,South,4,8.21,32.84,21.7
2024-01-11,Standing Desk,Furniture,Central,3,334.12,1002.36,694.04
2024-01-11,Standing Desk,Furniture,West,5,171.56,857.8,527.02
2024-01-12,Coffee Mug,Home & Kitchen,East,5,8.18,40.9,27.53
2024-01-12,Wireless Mouse,Electronics,Central,8,102.45,819.6,541.25
2024-01-12,Office Chair,Furniture,South,5,269.07,1345.35,841.72
2024-01-12,Water Bottle,Home & Kitchen,North,5,10.89,54.45,37.13
2024-01-12,Desk Lamp,Furniture,West,3,288.09,864.27,518.87
2024-01-12,Standing Desk,Furniture,South,5,333.81,1669.05,1125.07
2024-01-12,Mechanical Keyboard,Electronics,West,2,29.78,59.56,41.45
2024-01-12,Sticky Notes,Stationery,East,2,8.98,17.96,11.4
2024-01-13,Water Bottle,Home & Kitchen,East,7,13.14,91.98,46.45
2024-01-13,Sticky Notes,Stationery,East,4,8.04,32.16,20.26
2024-01-13,Mechanical Keyboard,Electronics,South,1,114.36,114.36,77.47
2024-01-13,USB-C Hub,Electronics,West,8,53.96,431.68,266.55
2024-01-13,USB-C Hub,Electronics,West,2,102.54,205.08,130.85
2024-01-13,Office Chair,Furniture,West,8,308.08,2464.64,1500.7
2024-01-13,Water Bottle,Home & Kitchen,East,1,26.66,26.66,15.75
2024-01-13,Water Bottle,Home & Kitchen,South,1,25.31,25.31,13.69
2024-01-13,Sticky Notes,Stationery,South,4,12.07,48.28,29.89
2024-01-14,Standing Desk,Furniture,South,3,291.57,874.71,460.41
2024-01-14,Desk Lamp,Furniture,South,6,136.96,821.76,429.56
2024-01-14,Mechanical Keyboard,Electronics,West,8,96.69,773.52,533.02
2024-01-14,Wireless Mouse,Electronics,Central,5,63.09,315.45,183.06
2024-01-14,Water Bottle,Home & Kitchen,North,8,15.09,120.72,63.94
2024-01-14,USB-C Hub,Electronics,East,6,54.99,329.94,193.36
2024-01-14,Mechanical Keyboard,Electronics,Central,4,60.16,240.64,139.51
2024-01-14,Mechanical Keyboard,Electronics,East,7,47.81,334.67,199.08
2024-01-14,Mechanical Keyboard,Electronics,North,2,60.35,120.7,61.8
2024-01-15,Sticky Notes,Stationery,Central,6,13.36,80.16,46.86
2024-01-15,Wireless Mouse,Electronics,East,5,51.92,259.6,141.44
2024-01-15,Mechanical Keyboard,Electronics,East,6,27.06,162.36,99.4
2024-01-15,Coffee Mug,Home & Kitchen,Central,1,8.64,8.64,4.79
2024-01-15,Standing Desk,Furniture,East,6,312.26,1873.56,989.94
2024-01-15,Water Bottle,Home & Kitchen,North,2,15.5,31.0,17.79
2024-01-15,Desk Lamp,Furniture,Central,2,105.12,210.24,108.55
2024-01-15,Ballpoint Pens (Pack),Stationery,West,8,4.8,38.4,21.85
2024-01-15,Mechanical Keyboard,Electronics,East,8,70.33,562.64,287.48
2024-01-15,Office Chair,Furniture,East,4,281.61,1126.44,675.27
2024-01-16,Notebook Set,Stationery,South,3,8.5,25.5,16.86
2024-01-16,Mechanical Keyboard,Electronics,West,1,60.8,60.8,35.62
2024-01-16,Notebook Set,Stationery,West,5,6.22,31.1,19.39
2024-01-16,Desk Lamp,Furniture,North,7,130.56,913.92,529.3
2024-01-16,Standing Desk,Furniture,East,4,108.76,435.04,261.89
2024-01-16,Desk Lamp,Furniture,East,3,102.47,307.41,200.44
2024-01-16,Water Bottle,Home & Kitchen,North,3,20.4,61.2,37.69
2024-01-16,Water Bottle,Home & Kitchen,Central,6,9.5,57.0,33.54
2024-01-16,Standing Desk,Furniture,East,1,81.52,81.52,46.77
2024-01-16,Standing Desk,Furniture,North,2,207.05,414.1,272.63
2024-01-16,Wireless Mouse,Electronics,West,4,48.76,195.04,101.56
2024-01-16,Desk Lamp,Furniture,North,3,265.21,795.63,494.85
2024-01-16,Desk Lamp,Furniture,East,5,284.59,1422.95,891.02
2024-01-16,Desk Lamp,Furniture,North,6,256.73,1540.38,972.46
2024-01-17,Coffee Mug,Home & Kitchen,South,6,14.83,88.98,56.17
2024-01-17,Water Bottle,Home & Kitchen,West,3,16.29,48.87,32.17
2024-01-17,USB-C Hub,Electronics,Central,2,82.83,165.66,88.8
2024-01-17,Office Chair,Furniture,East,8,349.99,2799.92,1841.29
2024-01-17,Sticky Notes,Stationery,Central,1,10.03,10.03,5.32
2024-01-17,USB-C Hub,Electronics,Central,3,90.72,272.16,188.86
2024-01-17,Coffee Mug,Home & Kitchen,East,8,25.26,202.08,137.58
2024-01-18,Office Chair,Furniture,East,8,141.71,1133.68,785.93
2024-01-18,Office Chair,Furniture,Central,3,75.13,225.39,154.81
2024-01-18,Sticky Notes,Stationery,North,5,7.84,39.2,26.12
2024-01-18,Mechanical Keyboard,Electronics,South,8,107.89,863.12,496.11
2024-01-18,Notebook Set,Stationery,North,6,3.29,19.74,11.19
2024-01-18,USB-C Hub,Electronics,South,1,45.12,45.12,28.93
2024-01-18,Ballpoint Pens (Pack),Stationery,Central,1,4.8,4.8,3.3
2024-01-18,Coffee Mug,Home & Kitchen,Central,7,9.05,63.35,36.99
2024-01-18,Coffee Mug,Home & Kitchen,West,2,8.36,16.72,10.08
2024-01-19,Office Chair,Furniture,South,5,238.29,1191.45,754.04
2024-01-19,Mechanical Keyboard,Electronics,Central,6,22.11,132.66,81.03
2024-01-19,Notebook Set,Stationery,West,1,5.3,5.3,3.49
2024-01-19,Desk Lamp,Furniture,South,2,273.2,546.4,332.87
2024-01-19,Water Bottle,Home & Kitchen,South,8,10.97,87.76,56.45
2024-01-19,Ballpoint Pens (Pack),Stationery,North,5,13.52,67.6,37.99
2024-01-19,Notebook Set,Stationery,Central,8,4.48,35.84,23.52
2024-01-19,Water Bottle,Home & Kitchen,East,5,24.35,121.75,82.66
2024-01-19,Notebook Set,Stationery,East,3,14.02,42.06,27.77
2024-01-19,Notebook Set,Stationery,North,7,9.09,63.63,32.83
2024-01-20,Water Bottle,Home & Kitchen,East,5,17.77,88.85,52.37
2024-01-20,Desk Lamp,Furniture,Central,7,344.21,2409.47,1511.95
2024-01-20,Desk Lamp,Furniture,Central,3,101.41,304.23,154.23
2024-01-20,Mechanical Keyboard,Electronics,South,6,53.03,318.18,187.72
2024-01-20,Desk Lamp,Furniture,East,8,226.44,1811.52,1141.1
2024-01-20,Office Chair,Furniture,North,1,204.72,204.72,113.08
2024-01-20,Standing Desk,Furniture,West,4,142.82,571.28,299.65
2024-01-20,Mechanical Keyboard,Electronics,West,3,109.36,328.08,219.52
2024-01-21,Desk Lamp,Furniture,East,2,144.21,288.42,185.14
2024-01-21,Water Bottle,Home & Kitchen,South,6,11.06,66.36,43.67
2024-01-21,Wireless Mouse,Electronics,East,6,64.08,384.48,197.3
2024-01-21,Notebook Set,Stationery,West,7,2.96,20.72,13.02
2024-01-22,Ballpoint Pens (Pack),Stationery,West,6,9.17,55.02,35.96
2024-01-22,USB-C Hub,Electronics,West,1,102.3,102.3,70.27
2024-01-22,Office Chair,Furniture,East,5,132.68,663.4,348.31
2024-01-22,Standing Desk,Furniture,Central,2,108.9,217.8,137.59
2024-01-23,Coffee Mug,Home & Kitchen,East,1,22.11,22.11,13.61
2024-01-23,Water Bottle,Home & Kitchen,South,7,20.0,140.0,87.97
2024-01-23,Standing Desk,Furniture,West,4,258.65,1034.6,529.7
2024-01-23,Ballpoint Pens (Pack),Stationery,West,8,3.87,30.96,17.46
2024-01-23,Desk Lamp,Furniture,West,3,209.34,628.02,329.4
2024-01-23,Ballpoint Pens (Pack),Stationery,South,3,6.99,20.97,11.53
2024-01-23,USB-C Hub,Electronics,East,6,34.93,209.58,141.64
2024-01-23,Ballpoint Pens (Pack),Stationery,North,2,14.57,29.14,16.63
2024-01-23,Wireless Mouse,Electronics,East,8,77.74,621.92,311.98
2024-01-23,Mechanical Keyboard,Electronics,West,3,107.66,322.98,187.37
2024-01-23,Coffee Mug,Home & Kitchen,Central,4,17.91,71.64,43.7
2024-01-24,Coffee Mug,Home & Kitchen,Central,2,29.71,59.42,36.34
2024-01-24,Desk Lamp,Furniture,South,4,176.4,705.6,453.5
2024-01-24,Ballpoint Pens (Pack),Stationery,Central,8,3.82,30.56,17.23
2024-01-24,Notebook Set,Stationery,Central,5,8.63,43.15,26.43
2024-01-24,Ballpoint Pens (Pack),Stationery,North,6,7.42,44.52,30.26
2024-01-24,Water Bottle,Home & Kitchen,North,8,20.73,165.84,90.47
2024-01-24,Wireless Mouse,Electronics,Central,8,32.9,263.2,139.38
2024-01-24,Water Bottle,Home & Kitchen,South,1,17.7,17.7,10.33
2024-01-24,Notebook Set,Stationery,South,7,8.13,56.91,36.73
2024-01-24,USB-C Hub,Electronics,Central,4,73.89,295.56,204.33
2024-01-24,Ballpoint Pens (Pack),Stationery,Central,6,13.28,79.68,52.65
2024-01-24,Standing Desk,Furniture,Central,8,131.49,1051.92,730.64
2024-01-24,Standing Desk,Furniture,East,4,201.81,807.24,554.49
2024-01-24,Standing Desk,Furniture,East,2,217.53,435.06,247.56
2024-01-24,USB-C Hub,Electronics,East,1,45.2,45.2,24.92
2024-01-24,Ballpoint Pens (Pack),Stationery,South,4,9.31,37.24,19.43
2024-01-25,Coffee Mug,Home & Kitchen,South,4,13.12,52.48,27.29
2024-01-25,Desk Lamp,Furniture,West,2,99.87,199.74,106.18
2024-01-25,Water Bottle,Home & Kitchen,West,8,14.28,114.24,58.47
2024-01-25,Mechanical Keyboard,Electronics,Central,4,71.19,284.76,152.35
2024-01-25,USB-C Hub,Electronics,North,7,97.74,684.18,381.7
2024-01-25,Wireless Mouse,Electronics,North,5,74.64,373.2,260.43
2024-01-25,Sticky Notes,Stationery,Central,8,8.55,68.4,45.26
2024-01-25,Desk Lamp,Furniture,South,8,268.39,2147.12,1200.25
2024-01-25,Water Bottle,Home & Kitchen,South,3,17.41,52.23,29.54
2024-01-25,Notebook Set,Stationery,North,3,14.17,42.51,24.52
2024-01-26,Ballpoint Pens (Pack),Stationery,East,6,2.15,12.9,8.24
2024-01-26,Wireless Mouse,Electronics,North,8,47.21,377.68,241.98
2024-01-26,Standing Desk,Furniture,North,5,124.05,620.25,366.57
2024-01-26,Coffee Mug,Home & Kitchen,East,7,25.64,179.48,119.38
2024-01-26,Office Chair,Furniture,Central,2,213.17,426.34,222.74
2024-01-26,Sticky Notes,Stationery,Central,4,6.27,25.08,13.12
2024-01-26,Office Chair,Furniture,Central,8,208.01,1664.08,1002.86
2024-01-26,Ballpoint Pens (Pack),Stationery,Central,1,6.01,6.01,3.31
2024-01-27,Wireless Mouse,Electronics,South,2,19.76,39.52,27.15
2024-01-27,Mechanical Keyboard,Electronics,West,1,45.14,45.14,29.15
2024-01-27,Notebook Set,Stationery,East,7,6.91,48.37,33.51
2024-01-27,Sticky Notes,Stationery,South,6,7.11,42.66,29.68
2024-01-27,Wireless Mouse,Electronics,North,5,63.62,318.1,173.66
2024-01-27,Ballpoint Pens (Pack),Stationery,East,3,11.43,34.29,22.7
2024-01-27,Notebook Set,Stationery,Central,1,9.72,9.72,6.17
2024-01-27,Wireless Mouse,Electronics,South,1,57.24,57.24,29.27
2024-01-27,Sticky Notes,Stationery,East,4,6.15,24.6,15.61
2024-01-27,Desk Lamp,Furniture,South,5,345.85,1729.25,959.79
2024-01-28,Sticky Notes,Stationery,Central,3,8.44,25.32,17.43
2024-01-28,Water Bottle,Home & Kitchen,West,6,12.05,72.3,43.93
2024-01-28,Office Chair,Furniture,South,5,101.86,509.3,296.69
2024-01-28,Notebook Set,Stationery,Central,3,6.29,18.87,11.13
2024-01-28,Desk Lamp,Furniture,North,4,169.38,677.52,348.62
2024-01-28,Coffee Mug,Home & Kitchen,Central,4,29.05,116.2,58.46
2024-01-28,Office Chair,Furniture,North,8,261.73,2093.84,1147.14
2024-01-28,Desk Lamp,Furniture,East,7,248.13,1736.91,1175.13
2024-01-28,Ballpoint Pens (Pack),Stationery,North,8,4.64,37.12,18.9
2024-01-29,Office Chair,Furniture,South,1,331.08,331.08,175.63
2024-01-29,Desk Lamp,Furniture,South,7,131.26,918.82,521.44
2024-01-29,Ballpoint Pens (Pack),Stationery,West,8,4.2,33.6,20.08
2024-01-29,Sticky Notes,Stationery,North,1,12.63,12.63,6.33
2024-01-29,USB-C Hub,Electronics,South,2,89.25,178.5,111.31
2024-01-29,Water Bottle,Home & Kitchen,Central,8,17.05,136.4,68.66
2024-01-29,Standing Desk,Furniture,Central,5,295.82,1479.1,1008.68
2024-01-29,Mechanical Keyboard,Electronics,North,3,40.3,120.9,79.67
2024-01-29,Mechanical Keyboard,Electronics,East,7,63.19,442.33,294.42
2024-01-29,Mechanical Keyboard,Electronics,North,2,57.55,115.1,73.73
2024-01-29,Mechanical Keyboard,Electronics,West,7,82.72,579.04,393.14
2024-01-29,Wireless Mouse,Electronics,South,4,109.63,438.52,300.31
2024-01-29,Water Bottle,Home & Kitchen,East,1,12.56,12.56,6.64
2024-01-29,Notebook Set,Stationery,North,5,12.85,64.25,43.65
2024-01-29,Desk Lamp,Furniture,West,3,259.9,779.7,443.78
2024-01-30,Mechanical Keyboard,Electronics,West,4,103.06,412.24,238.83
2024-01-30,Desk Lamp,Furniture,North,5,190.66,953.3,548.23
2024-01-30,USB-C Hub,Electronics,Central,7,24.0,168.0,86.76
2024-01-30,USB-C Hub,Electronics,West,3,92.66,277.98,156.13
2024-01-30,Desk Lamp,Furniture,East,2,114.34,228.68,133.0
2024-01-30,Wireless Mouse,Electronics,North,6,73.19,439.14,220.65
2024-01-30,Notebook Set,Stationery,West,2,14.91,29.82,18.02
2024-01-30,Water Bottle,Home & Kitchen,West,3,9.39,28.17,16.53
2024-01-30,Notebook Set,Stationery,East,8,14.27,114.16,68.4
2024-01-30,Coffee Mug,Home & Kitchen,South,8,15.31,122.48,76.43
2024-01-31,Desk Lamp,Furniture,West,6,298.83,1792.98,1004.22
2024-01-31,Coffee Mug,Home & Kitchen,South,8,14.41,115.28,73.66
2024-01-31,Ballpoint Pens (Pack),Stationery,Central,4,12.22,48.88,33.55
2024-01-31,Office Chair,Furniture,Central,3,219.53,658.59,422.6
2024-01-31,Ballpoint Pens (Pack),Stationery,East,2,7.32,14.64,9.17
2024-01-31,Office Chair,Furniture,East,3,288.83,866.49,516.3
2024-01-31,Notebook Set,Stationery,Central,7,6.67,46.69,28.36
2024-01-31,Water Bottle,Home & Kitchen,North,2,22.23,44.46,22.62
2024-01-31,Water Bottle,Home & Kitchen,West,6,13.69,82.14,49.46
2024-01-31,Sticky Notes,Stationery,Central,4,12.04,48.16,28.9
2024-01-31,Desk Lamp,Furniture,North,8,180.63,1445.04,994.38
2024-01-31,USB-C Hub,Electronics,East,5,51.02,255.1,132.53
2024-01-31,Ballpoint Pens (Pack),Stationery,East,2,3.5,7.0,4.41
2024-01-31,Water Bottle,Home & Kitchen,South,4,17.38,69.52,41.18
2024-01-31,Notebook Set,Stationery,South,3,2.38,7.14,3.85
2024-01-31,Coffee Mug,Home & Kitchen,West,7,23.48,164.36,108.35
2024-02-01,Coffee Mug,Home & Kitchen,North,3,22.76,68.28,40.82
2024-02-01,Water Bottle,Home & Kitchen,East,7,26.6,186.2,116.09
2024-02-01,Water Bottle,Home & Kitchen,East,2,10.57,21.14,12.15
2024-02-01,USB-C Hub,Electronics,Central,7,58.92,412.44,258.64
2024-02-01,Water Bottle,Home & Kitchen,South,3,17.92,53.76,27.46
2024-02-01,Desk Lamp,Furniture,North,8,296.41,2371.28,1420.38
2024-02-01,Water Bottle,Home & Kitchen,West,7,20.44,143.08,94.31
2024-02-01,Office Chair,Furniture,East,1,215.91,215.91,140.02
2024-02-01,Ballpoint Pens (Pack),Stationery,Central,2,9.06,18.12,11.02
2024-02-01,Wireless Mouse,Electronics,West,4,118.93,475.72,266.19
2024-02-02,Wireless Mouse,Electronics,West,5,51.6,258.0,169.02
2024-02-02,Office Chair,Furniture,South,6,236.98,1421.88,934.13
2024-02-02,Office Chair,Furniture,North,6,233.09,1398.54,781.12
2024-02-02,Coffee Mug,Home & Kitchen,East,2,9.3,18.6,10.33
2024-02-02,Water Bottle,Home & Kitchen,South,3,24.75,74.25,47.17
2024-02-02,Ballpoint Pens (Pack),Stationery,South,5,2.98,14.9,9.74
2024-02-02,Notebook Set,Stationery,Central,5,7.91,39.55,24.38
2024-02-02,Mechanical Keyboard,Electronics,West,6,104.26,625.56,415.98
2024-02-02,Ballpoint Pens (Pack),Stationery,East,6,9.51,57.06,34.07
2024-02-02,Desk Lamp,Furniture,North,1,287.33,287.33,192.95
2024-02-03,Ballpoint Pens (Pack),Stationery,West,1,14.94,14.94,10.11
2024-02-03,Standing Desk,Furniture,South,5,164.53,822.65,518.09
2024-02-03,Wireless Mouse,Electronics,West,5,91.23,456.15,236.76
2024-02-03,Office Chair,Furniture,West,2,125.6,251.2,160.55
2024-02-03,Mechanical Keyboard,Electronics,West,3,65.16,195.48,101.77
2024-02-03,Desk Lamp,Furniture,East,3,295.88,887.64,564.03
2024-02-03,Mechanical Keyboard,Electronics,Central,1,79.08,79.08,51.37
2024-02-03,Notebook Set,Stationery,Central,8,3.31,26.48,16.36
2024-02-03,Notebook Set,Stationery,East,7,5.6,39.2,23.94
2024-02-03,Coffee Mug,Home & Kitchen,Central,5,22.48,112.4,62.98
2024-02-04,Sticky Notes,Stationery,Central,4,2.71,10.84,7.49
2024-02-04,Ballpoint Pens (Pack),Stationery,West,2,2.92,5.84,2.93
2024-02-04,Desk Lamp,Furniture,East,3,303.3,909.9,486.39
2024-02-04,Ballpoint Pens (Pack),Stationery,North,1,4.8,4.8,3.31
2024-02-04,Notebook Set,Stationery,Central,5,7.4,37.0,19.11
2024-02-04,Sticky Notes,Stationery,Central,3,8.65,25.95,17.17
2024-02-04,Sticky Notes,Stationery,East,7,10.45,73.15,41.11
2024-02-04,Notebook Set,Stationery,South,1,3.51,3.51,1.79
2024-02-04,Water Bottle,Home & Kitchen,South,2,18.92,37.84,21.54
2024-02-04,Sticky Notes,Stationery,East,3,13.35,40.05,20.97
2024-02-04,Wireless Mouse,Electronics,East,7,43.56,304.92,157.16
2024-02-04,Ballpoint Pens (Pack),Stationery,Central,6,4.17,25.02,16.38
2024-02-05,Coffee Mug,Home & Kitchen,North,4,8.27,33.08,16.84
2024-02-05,Desk Lamp,Furniture,West,3,338.5,1015.5,652.77
2024-02-05,Water Bottle,Home & Kitchen,West,4,13.97,55.88,28.81
2024-02-05,Desk Lamp,Furniture,North,1,293.26,293.26,150.67
2024-02-05,Ballpoint Pens (Pack),Stationery,East,5,2.1,10.5,6.43
2024-02-05,Standing Desk,Furniture,Central,4,231.59,926.36,499.39
2024-02-05,Sticky Notes,Stationery,South,3,5.03,15.09,10.08
2024-02-06,Wireless Mouse,Electronics,East,1,94.69,94.69,51.23
2024-02-06,Office Chair,Furniture,West,8,342.04,2736.32,1392.19
2024-02-06,Office Chair,Furniture,Central,7,168.02,1176.14,610.55
